StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q5,Q6,advice_equal _1,advice_equal _2,advice_equal _3,advice_fair _1,advice_fair _2,advice_fair _3,advice_fairequal _1,advice_fairequal _2,advice_fairequal _3,attempts_take,attempts_give
2026-09-21 03:45:46,2026-09-21 03:47:10,IP Address,51.155.131.163,100,84,True,2026-09-21 03:47:10,R_8Pp3q8gSo6GoelN,,,,,52.463,0.9068,anonymous,EN,£4,£0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,
2026-09-21 03:45:24,2026-09-21 03:47:13,IP Address,82.43.59.33,100,109,True,2026-09-21 03:47:13,R_8BqFpFXwRM8mUkp,,,,,52.4691,-1.7429,anonymous,EN,£4,£0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,,
2026-09-21 03:45:16,2026-09-21 03:47:17,IP Address,81.155.43.189,100,121,True,2026-09-21 03:47:18,R_2diEkLaAWsHPxCO,,,,,51.8702,0.9006,anonymous,EN,£4,£0,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,,
2026-09-21 03:45:25,2026-09-21 03:47:24,IP Address,151.228.195.238,100,118,True,2026-09-21 03:47:24,R_8GaKFCcLBjequ2Z,,,,,53.5515,-2.3311,anonymous,EN,£4,£0,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,,
2026-09-21 03:45:30,2026-09-21 03:47:25,IP Address,82.71.193.97,100,114,True,2026-09-21 03:47:25,R_2uGZD0uwP1uFw7T,,,,,53.1015,-2.439,anonymous,EN,£4,£0,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,
2026-09-21 03:45:09,2026-09-21 03:47:26,IP Address,5.133.46.39,100,136,True,2026-09-21 03:47:26,R_8CExWI6Kv2rCyxW,,,,,53.7606,-0.3734,anonymous,EN,£4,£0,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,,
2026-09-21 03:45:22,2026-09-21 03:47:34,IP Address,62.56.7.189,100,132,True,2026-09-21 03:47:34,R_2CLoApB7Gb0WYIV,,,,,51.6216,-0.055,anonymous,EN,£4,£0,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,,
2026-09-21 03:45:25,2026-09-21 03:47:47,IP Address,143.58.141.61,100,141,True,2026-09-21 03:47:47,R_80BVZBU0fpzQ7hT,,,,,51.5384,-0.039,anonymous,EN,£4,£0,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,,
2026-09-21 03:45:04,2026-09-21 03:47:55,IP Address,86.159.98.39,100,171,True,2026-09-21 03:47:56,R_2FRN2cjCeyIZ4Eh,,,,,51.5164,-0.093,anonymous,EN,£4,£0,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,,
2026-09-21 03:45:21,2026-09-21 03:48:09,IP Address,82.132.213.54,100,167,True,2026-09-21 03:48:09,R_8f1TOf9Beg9yKqt,,,,,51.5591,-0.2283,anonymous,EN,£4,£0,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,,
2026-09-21 03:45:35,2026-09-21 03:48:11,IP Address,2.98.172.36,100,156,True,2026-09-21 03:48:11,R_8eL8wahlqZiJvI8,,,,,53.8743,-3.0233,anonymous,EN,£4,£0,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,,
2026-09-21 03:45:12,2026-09-21 03:48:17,IP Address,157.231.112.50,100,184,True,2026-09-21 03:48:17,R_8PbPAkGXlerWIlq,,,,,51.5852,-3.761,anonymous,EN,£4,£0,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,,
2026-09-21 03:45:28,2026-09-21 03:48:20,IP Address,51.7.238.161,100,171,True,2026-09-21 03:48:20,R_8k1WWmXKVclbxnj,,,,,53.4293,-1.4635,anonymous,EN,£4,£0,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,,
2026-09-21 03:45:28,2026-09-21 03:48:36,IP Address,86.184.151.101,100,187,True,2026-09-21 03:48:36,R_8zUbxgA7awyGAKa,,,,,52.5329,-1.5791,anonymous,EN,£4,£0,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,,
2026-09-21 03:45:17,2026-09-21 03:48:39,IP Address,91.103.187.42,100,201,True,2026-09-21 03:48:40,R_2qwgRzuJfNVhCWC,,,,,57.1453,-2.0945,anonymous,EN,£4,£0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,
2026-09-21 03:45:22,2026-09-21 03:48:44,IP Address,88.97.215.18,100,201,True,2026-09-21 03:48:44,R_8DceCTzDvV8kEVP,,,,,51.9417,-0.2845,anonymous,EN,£4,£0,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,
2026-09-21 03:45:21,2026-09-21 03:48:46,IP Address,86.159.39.45,100,205,True,2026-09-21 03:48:47,R_8CITcORBeyM19tN,,,,,51.5164,-0.093,anonymous,EN,£4,£0,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,,
2026-09-21 03:45:08,2026-09-21 03:48:55,IP Address,86.151.84.183,100,227,True,2026-09-21 03:48:55,R_8JDFyvfQB5ODni4,,,,,53.3633,-2.8427,anonymous,EN,£4,£0,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,,
2026-09-21 03:45:34,2026-09-21 03:49:04,IP Address,38.126.90.89,100,210,True,2026-09-21 03:49:05,R_8Qgb6nzGoWik0DT,,,,,54.69,-1.2047,anonymous,EN,£4,£0,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,,
2026-09-21 03:45:20,2026-09-21 03:49:34,IP Address,86.159.214.81,100,253,True,2026-09-21 03:49:34,R_2kxNPFjZ2CBwYxz,,,,,51.5164,-0.093,anonymous,EN,£4,£0,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,,
2026-09-21 03:47:36,2026-09-21 03:49:55,IP Address,62.232.154.122,100,138,True,2026-09-21 03:49:55,R_2dXbZDhFpt83qAF,,,,,52.4145,-1.7841,anonymous,EN,£4,£0,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,,
2026-09-21 03:45:36,2026-09-21 03:49:59,IP Address,5.69.95.149,100,263,True,2026-09-21 03:49:59,R_8OkJsZjZfiTU4lA,,,,,52.0097,-0.2699,anonymous,EN,£4,£0,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,
2026-09-21 03:45:43,2026-09-21 03:50:42,IP Address,90.255.38.60,100,299,True,2026-09-21 03:50:42,R_8cneOEqQ1w0W9Bn,,,,,51.462,0.1046,anonymous,EN,£4,£0,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,,
2026-09-21 03:45:55,2026-09-21 03:51:59,IP Address,82.3.43.0,100,363,True,2026-09-21 03:51:59,R_8rrkHgBiKPvkks6,,,,,52.9538,-1.1571,anonymous,EN,£4,£0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,,
2026-09-21 03:45:33,2026-09-21 03:52:21,IP Address,103.104.23.60,100,407,True,2026-09-21 03:52:21,R_8xhy2dBSbXlu5fH,,,,,51.5164,-0.093,anonymous,EN,£4,£0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,
2026-09-21 03:50:29,2026-09-21 03:54:05,IP Address,109.175.170.109,100,215,True,2026-09-21 03:54:05,R_2BxtkAJU0Wl4Erq,,,,,53.4729,-2.2908,anonymous,EN,£4,£0,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,,
2026-09-21 03:51:18,2026-09-21 03:55:18,IP Address,31.48.245.205,100,239,True,2026-09-21 03:55:18,R_8BeopuSusSTWqKq,,,,,52.7133,-1.147,anonymous,EN,£4,£0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,,
