StartDate,EndDate,Status,Progress,Duration(inseconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q5,Q6,advice_equal_1,advice_equal_2,advice_equal_3,advice_fair_1,advice_fair_2,advice_fair_3,advice_fairequal_1,advice_fairequal_2,advice_fairequal_3,attempts_take,attempts_give,source_file,Duration,is_preview,check_take,check_give,checks_pass,has_ratings,dup_ip,speeder
2026-09-21T03:45:04Z,2026-09-21 03:47:55,IP Address,100,171,TRUE,2026-09-21 03:47:56,R_2FRN2cjCeyIZ4Eh,NA,NA,NA,NA,anonymous,EN,£4,£0,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,NA,NA,"AI Advice_September 21, 2026_03.55.csv",171,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2026-09-21T03:45:21Z,2026-09-21 03:48:09,IP Address,100,167,TRUE,2026-09-21 03:48:09,R_8f1TOf9Beg9yKqt,NA,NA,NA,NA,anonymous,EN,£4,£0,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,NA,NA,"AI Advice_September 21, 2026_03.55.csv",167,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2026-09-21T03:45:35Z,2026-09-21 03:48:11,IP Address,100,156,TRUE,2026-09-21 03:48:11,R_8eL8wahlqZiJvI8,NA,NA,NA,NA,anonymous,EN,£4,£0,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,NA,NA,"AI Advice_September 21, 2026_03.55.csv",156,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2026-09-21T03:45:12Z,2026-09-21 03:48:17,IP Address,100,184,TRUE,2026-09-21 03:48:17,R_8PbPAkGXlerWIlq,NA,NA,NA,NA,anonymous,EN,£4,£0,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,NA,NA,"AI Advice_September 21, 2026_03.55.csv",184,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2026-09-21T03:45:28Z,2026-09-21 03:48:20,IP Address,100,171,TRUE,2026-09-21 03:48:20,R_8k1WWmXKVclbxnj,NA,NA,NA,NA,anonymous,EN,£4,£0,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,NA,NA,"AI Advice_September 21, 2026_03.55.csv",171,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2026-09-21T03:45:28Z,2026-09-21 03:48:36,IP Address,100,187,TRUE,2026-09-21 03:48:36,R_8zUbxgA7awyGAKa,NA,NA,NA,NA,anonymous,EN,£4,£0,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,NA,NA,"AI Advice_September 21, 2026_03.55.csv",187,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2026-09-21T03:45:17Z,2026-09-21 03:48:39,IP Address,100,201,TRUE,2026-09-21 03:48:40,R_2qwgRzuJfNVhCWC,NA,NA,NA,NA,anonymous,EN,£4,£0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,NA,NA,"AI Advice_September 21, 2026_03.55.csv",201,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2026-09-21T03:45:22Z,2026-09-21 03:48:44,IP Address,100,201,TRUE,2026-09-21 03:48:44,R_8DceCTzDvV8kEVP,NA,NA,NA,NA,anonymous,EN,£4,£0,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,NA,NA,"AI Advice_September 21, 2026_03.55.csv",201,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2026-09-21T03:45:21Z,2026-09-21 03:48:46,IP Address,100,205,TRUE,2026-09-21 03:48:47,R_8CITcORBeyM19tN,NA,NA,NA,NA,anonymous,EN,£4,£0,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,NA,NA,"AI Advice_September 21, 2026_03.55.csv",205,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2026-09-21T03:45:08Z,2026-09-21 03:48:55,IP Address,100,227,TRUE,2026-09-21 03:48:55,R_8JDFyvfQB5ODni4,NA,NA,NA,NA,anonymous,EN,£4,£0,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,NA,NA,"AI Advice_September 21, 2026_03.55.csv",227,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2026-09-21T03:45:34Z,2026-09-21 03:49:04,IP Address,100,210,TRUE,2026-09-21 03:49:05,R_8Qgb6nzGoWik0DT,NA,NA,NA,NA,anonymous,EN,£4,£0,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,NA,NA,"AI Advice_September 21, 2026_03.55.csv",210,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2026-09-21T03:45:20Z,2026-09-21 03:49:34,IP Address,100,253,TRUE,2026-09-21 03:49:34,R_2kxNPFjZ2CBwYxz,NA,NA,NA,NA,anonymous,EN,£4,£0,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,NA,NA,"AI Advice_September 21, 2026_03.55.csv",253,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2026-09-21T03:47:36Z,2026-09-21 03:49:55,IP Address,100,138,TRUE,2026-09-21 03:49:55,R_2dXbZDhFpt83qAF,NA,NA,NA,NA,anonymous,EN,£4,£0,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,NA,NA,"AI Advice_September 21, 2026_03.55.csv",138,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2026-09-21T03:45:36Z,2026-09-21 03:49:59,IP Address,100,263,TRUE,2026-09-21 03:49:59,R_8OkJsZjZfiTU4lA,NA,NA,NA,NA,anonymous,EN,£4,£0,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,NA,NA,"AI Advice_September 21, 2026_03.55.csv",263,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2026-09-21T03:45:43Z,2026-09-21 03:50:42,IP Address,100,299,TRUE,2026-09-21 03:50:42,R_8cneOEqQ1w0W9Bn,NA,NA,NA,NA,anonymous,EN,£4,£0,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,NA,NA,"AI Advice_September 21, 2026_03.55.csv",299,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2026-09-21T03:45:55Z,2026-09-21 03:51:59,IP Address,100,363,TRUE,2026-09-21 03:51:59,R_8rrkHgBiKPvkks6,NA,NA,NA,NA,anonymous,EN,£4,£0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,NA,NA,"AI Advice_September 21, 2026_03.55.csv",363,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2026-09-21T03:45:33Z,2026-09-21 03:52:21,IP Address,100,407,TRUE,2026-09-21 03:52:21,R_8xhy2dBSbXlu5fH,NA,NA,NA,NA,anonymous,EN,£4,£0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,NA,NA,"AI Advice_September 21, 2026_03.55.csv",407,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2026-09-21T03:50:29Z,2026-09-21 03:54:05,IP Address,100,215,TRUE,2026-09-21 03:54:05,R_2BxtkAJU0Wl4Erq,NA,NA,NA,NA,anonymous,EN,£4,£0,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,NA,NA,"AI Advice_September 21, 2026_03.55.csv",215,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2026-09-21T03:51:18Z,2026-09-21 03:55:18,IP Address,100,239,TRUE,2026-09-21 03:55:18,R_8BeopuSusSTWqKq,NA,NA,NA,NA,anonymous,EN,£4,£0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,NA,NA,"AI Advice_September 21, 2026_03.55.csv",239,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
