ResponseId,advice,item,response,score
R_8BqFpFXwRM8mUkp,Fairness,Reasoning makes sense,Strongly agree,5
R_8BqFpFXwRM8mUkp,Fairness,Inclined to revise,Somewhat agree,4
R_8BqFpFXwRM8mUkp,Fairness & Equality,Standard matters,Strongly agree,5
R_8BqFpFXwRM8mUkp,Fairness & Equality,Reasoning makes sense,Strongly agree,5
R_8BqFpFXwRM8mUkp,Fairness & Equality,Inclined to revise,Somewhat agree,4
R_2diEkLaAWsHPxCO,Equality,Standard matters,Strongly agree,5
R_2diEkLaAWsHPxCO,Equality,Reasoning makes sense,Strongly agree,5
R_2diEkLaAWsHPxCO,Equality,Inclined to revise,Somewhat agree,4
R_2diEkLaAWsHPxCO,Fairness,Standard matters,Strongly agree,5
R_2diEkLaAWsHPxCO,Fairness,Reasoning makes sense,Strongly agree,5
R_2diEkLaAWsHPxCO,Fairness,Inclined to revise,Somewhat agree,4
R_2diEkLaAWsHPxCO,Fairness & Equality,Standard matters,Strongly agree,5
R_2diEkLaAWsHPxCO,Fairness & Equality,Reasoning makes sense,Strongly agree,5
R_2diEkLaAWsHPxCO,Fairness & Equality,Inclined to revise,Neither agree nor disagree,3
R_8GaKFCcLBjequ2Z,Equality,Standard matters,Strongly agree,5
R_8GaKFCcLBjequ2Z,Equality,Reasoning makes sense,Strongly agree,5
R_8GaKFCcLBjequ2Z,Equality,Inclined to revise,Neither agree nor disagree,3
R_8GaKFCcLBjequ2Z,Fairness,Standard matters,Strongly agree,5
R_8GaKFCcLBjequ2Z,Fairness,Reasoning makes sense,Strongly agree,5
R_8GaKFCcLBjequ2Z,Fairness,Inclined to revise,Neither agree nor disagree,3
R_8GaKFCcLBjequ2Z,Fairness & Equality,Standard matters,Strongly agree,5
R_8GaKFCcLBjequ2Z,Fairness & Equality,Reasoning makes sense,Strongly agree,5
R_8GaKFCcLBjequ2Z,Fairness & Equality,Inclined to revise,Neither agree nor disagree,3
R_2uGZD0uwP1uFw7T,Equality,Standard matters,Somewhat agree,4
R_2uGZD0uwP1uFw7T,Equality,Reasoning makes sense,Strongly agree,5
R_2uGZD0uwP1uFw7T,Equality,Inclined to revise,Somewhat agree,4
R_2uGZD0uwP1uFw7T,Fairness,Standard matters,Somewhat agree,4
R_2uGZD0uwP1uFw7T,Fairness,Reasoning makes sense,Strongly agree,5
R_2uGZD0uwP1uFw7T,Fairness,Inclined to revise,Strongly agree,5
R_2uGZD0uwP1uFw7T,Fairness & Equality,Standard matters,Strongly agree,5
R_2uGZD0uwP1uFw7T,Fairness & Equality,Reasoning makes sense,Strongly agree,5
R_2uGZD0uwP1uFw7T,Fairness & Equality,Inclined to revise,Strongly agree,5
R_8CExWI6Kv2rCyxW,Equality,Standard matters,Somewhat agree,4
R_8CExWI6Kv2rCyxW,Equality,Reasoning makes sense,Strongly agree,5
R_8CExWI6Kv2rCyxW,Equality,Inclined to revise,Somewhat disagree,2
R_8CExWI6Kv2rCyxW,Fairness,Standard matters,Somewhat agree,4
R_8CExWI6Kv2rCyxW,Fairness,Reasoning makes sense,Strongly agree,5
R_8CExWI6Kv2rCyxW,Fairness,Inclined to revise,Somewhat disagree,2
R_8CExWI6Kv2rCyxW,Fairness & Equality,Standard matters,Somewhat agree,4
R_8CExWI6Kv2rCyxW,Fairness & Equality,Reasoning makes sense,Strongly agree,5
R_8CExWI6Kv2rCyxW,Fairness & Equality,Inclined to revise,Somewhat disagree,2
R_2CLoApB7Gb0WYIV,Equality,Standard matters,Strongly agree,5
R_2CLoApB7Gb0WYIV,Equality,Reasoning makes sense,Strongly agree,5
R_2CLoApB7Gb0WYIV,Equality,Inclined to revise,Strongly disagree,1
R_2CLoApB7Gb0WYIV,Fairness,Standard matters,Strongly agree,5
R_2CLoApB7Gb0WYIV,Fairness,Reasoning makes sense,Strongly agree,5
R_2CLoApB7Gb0WYIV,Fairness,Inclined to revise,Strongly disagree,1
R_2CLoApB7Gb0WYIV,Fairness & Equality,Standard matters,Strongly agree,5
R_2CLoApB7Gb0WYIV,Fairness & Equality,Reasoning makes sense,Strongly agree,5
R_2CLoApB7Gb0WYIV,Fairness & Equality,Inclined to revise,Strongly disagree,1
R_80BVZBU0fpzQ7hT,Equality,Standard matters,Somewhat agree,4
R_80BVZBU0fpzQ7hT,Equality,Reasoning makes sense,Strongly agree,5
R_80BVZBU0fpzQ7hT,Equality,Inclined to revise,Neither agree nor disagree,3
R_80BVZBU0fpzQ7hT,Fairness,Standard matters,Neither agree nor disagree,3
R_80BVZBU0fpzQ7hT,Fairness,Reasoning makes sense,Strongly agree,5
R_80BVZBU0fpzQ7hT,Fairness,Inclined to revise,Somewhat disagree,2
R_80BVZBU0fpzQ7hT,Fairness & Equality,Standard matters,Neither agree nor disagree,3
R_80BVZBU0fpzQ7hT,Fairness & Equality,Reasoning makes sense,Strongly agree,5
R_80BVZBU0fpzQ7hT,Fairness & Equality,Inclined to revise,Somewhat disagree,2
R_2FRN2cjCeyIZ4Eh,Equality,Standard matters,Strongly agree,5
R_2FRN2cjCeyIZ4Eh,Equality,Reasoning makes sense,Strongly agree,5
R_2FRN2cjCeyIZ4Eh,Equality,Inclined to revise,Somewhat agree,4
R_2FRN2cjCeyIZ4Eh,Fairness,Standard matters,Strongly agree,5
R_2FRN2cjCeyIZ4Eh,Fairness,Reasoning makes sense,Strongly agree,5
R_2FRN2cjCeyIZ4Eh,Fairness,Inclined to revise,Somewhat agree,4
R_2FRN2cjCeyIZ4Eh,Fairness & Equality,Standard matters,Strongly agree,5
R_2FRN2cjCeyIZ4Eh,Fairness & Equality,Reasoning makes sense,Strongly agree,5
R_2FRN2cjCeyIZ4Eh,Fairness & Equality,Inclined to revise,Somewhat agree,4
R_8f1TOf9Beg9yKqt,Equality,Standard matters,Strongly agree,5
R_8f1TOf9Beg9yKqt,Equality,Reasoning makes sense,Strongly agree,5
R_8f1TOf9Beg9yKqt,Equality,Inclined to revise,Strongly disagree,1
R_8f1TOf9Beg9yKqt,Fairness,Standard matters,Strongly disagree,1
R_8f1TOf9Beg9yKqt,Fairness,Reasoning makes sense,Strongly agree,5
R_8f1TOf9Beg9yKqt,Fairness,Inclined to revise,Strongly disagree,1
R_8f1TOf9Beg9yKqt,Fairness & Equality,Standard matters,Strongly agree,5
R_8f1TOf9Beg9yKqt,Fairness & Equality,Reasoning makes sense,Strongly agree,5
R_8f1TOf9Beg9yKqt,Fairness & Equality,Inclined to revise,Strongly disagree,1
R_8eL8wahlqZiJvI8,Equality,Standard matters,Somewhat disagree,2
R_8eL8wahlqZiJvI8,Equality,Reasoning makes sense,Strongly agree,5
R_8eL8wahlqZiJvI8,Equality,Inclined to revise,Strongly disagree,1
R_8eL8wahlqZiJvI8,Fairness,Standard matters,Strongly agree,5
R_8eL8wahlqZiJvI8,Fairness,Reasoning makes sense,Strongly agree,5
R_8eL8wahlqZiJvI8,Fairness,Inclined to revise,Neither agree nor disagree,3
R_8eL8wahlqZiJvI8,Fairness & Equality,Standard matters,Strongly agree,5
R_8eL8wahlqZiJvI8,Fairness & Equality,Reasoning makes sense,Strongly agree,5
R_8eL8wahlqZiJvI8,Fairness & Equality,Inclined to revise,Neither agree nor disagree,3
R_8PbPAkGXlerWIlq,Equality,Standard matters,Strongly agree,5
R_8PbPAkGXlerWIlq,Equality,Reasoning makes sense,Somewhat agree,4
R_8PbPAkGXlerWIlq,Equality,Inclined to revise,Strongly agree,5
R_8PbPAkGXlerWIlq,Fairness,Standard matters,Somewhat agree,4
R_8PbPAkGXlerWIlq,Fairness,Reasoning makes sense,Somewhat agree,4
R_8PbPAkGXlerWIlq,Fairness,Inclined to revise,Neither agree nor disagree,3
R_8PbPAkGXlerWIlq,Fairness & Equality,Standard matters,Somewhat agree,4
R_8PbPAkGXlerWIlq,Fairness & Equality,Reasoning makes sense,Somewhat agree,4
R_8PbPAkGXlerWIlq,Fairness & Equality,Inclined to revise,Somewhat disagree,2
R_8k1WWmXKVclbxnj,Equality,Standard matters,Strongly agree,5
R_8k1WWmXKVclbxnj,Equality,Reasoning makes sense,Strongly agree,5
R_8k1WWmXKVclbxnj,Equality,Inclined to revise,Neither agree nor disagree,3
R_8k1WWmXKVclbxnj,Fairness,Standard matters,Strongly agree,5
R_8k1WWmXKVclbxnj,Fairness,Reasoning makes sense,Strongly agree,5
R_8k1WWmXKVclbxnj,Fairness,Inclined to revise,Neither agree nor disagree,3
R_8k1WWmXKVclbxnj,Fairness & Equality,Standard matters,Strongly agree,5
R_8k1WWmXKVclbxnj,Fairness & Equality,Reasoning makes sense,Strongly agree,5
R_8k1WWmXKVclbxnj,Fairness & Equality,Inclined to revise,Neither agree nor disagree,3
R_8zUbxgA7awyGAKa,Equality,Standard matters,Somewhat agree,4
R_8zUbxgA7awyGAKa,Equality,Reasoning makes sense,Strongly agree,5
R_8zUbxgA7awyGAKa,Equality,Inclined to revise,Strongly agree,5
R_8zUbxgA7awyGAKa,Fairness,Standard matters,Somewhat agree,4
R_8zUbxgA7awyGAKa,Fairness,Reasoning makes sense,Strongly agree,5
R_8zUbxgA7awyGAKa,Fairness,Inclined to revise,Strongly agree,5
R_8zUbxgA7awyGAKa,Fairness & Equality,Standard matters,Somewhat agree,4
R_8zUbxgA7awyGAKa,Fairness & Equality,Reasoning makes sense,Strongly agree,5
R_8zUbxgA7awyGAKa,Fairness & Equality,Inclined to revise,Strongly agree,5
R_2qwgRzuJfNVhCWC,Equality,Standard matters,Strongly agree,5
R_2qwgRzuJfNVhCWC,Equality,Reasoning makes sense,Strongly agree,5
R_2qwgRzuJfNVhCWC,Equality,Inclined to revise,Strongly agree,5
R_2qwgRzuJfNVhCWC,Fairness,Standard matters,Strongly agree,5
R_2qwgRzuJfNVhCWC,Fairness,Reasoning makes sense,Strongly agree,5
R_2qwgRzuJfNVhCWC,Fairness,Inclined to revise,Strongly agree,5
R_2qwgRzuJfNVhCWC,Fairness & Equality,Standard matters,Strongly agree,5
R_2qwgRzuJfNVhCWC,Fairness & Equality,Reasoning makes sense,Strongly agree,5
R_2qwgRzuJfNVhCWC,Fairness & Equality,Inclined to revise,Strongly agree,5
R_8DceCTzDvV8kEVP,Equality,Standard matters,Somewhat agree,4
R_8DceCTzDvV8kEVP,Equality,Reasoning makes sense,Somewhat agree,4
R_8DceCTzDvV8kEVP,Equality,Inclined to revise,Neither agree nor disagree,3
R_8DceCTzDvV8kEVP,Fairness,Standard matters,Somewhat agree,4
R_8DceCTzDvV8kEVP,Fairness,Reasoning makes sense,Somewhat agree,4
R_8DceCTzDvV8kEVP,Fairness,Inclined to revise,Neither agree nor disagree,3
R_8DceCTzDvV8kEVP,Fairness & Equality,Standard matters,Somewhat agree,4
R_8DceCTzDvV8kEVP,Fairness & Equality,Reasoning makes sense,Somewhat agree,4
R_8DceCTzDvV8kEVP,Fairness & Equality,Inclined to revise,Neither agree nor disagree,3
R_8CITcORBeyM19tN,Equality,Standard matters,Strongly agree,5
R_8CITcORBeyM19tN,Equality,Reasoning makes sense,Strongly agree,5
R_8CITcORBeyM19tN,Equality,Inclined to revise,Somewhat disagree,2
R_8CITcORBeyM19tN,Fairness,Standard matters,Strongly agree,5
R_8CITcORBeyM19tN,Fairness,Reasoning makes sense,Strongly agree,5
R_8CITcORBeyM19tN,Fairness,Inclined to revise,Somewhat disagree,2
R_8CITcORBeyM19tN,Fairness & Equality,Standard matters,Strongly agree,5
R_8CITcORBeyM19tN,Fairness & Equality,Reasoning makes sense,Strongly agree,5
R_8CITcORBeyM19tN,Fairness & Equality,Inclined to revise,Somewhat disagree,2
R_8JDFyvfQB5ODni4,Equality,Standard matters,Somewhat agree,4
R_8JDFyvfQB5ODni4,Equality,Reasoning makes sense,Somewhat agree,4
R_8JDFyvfQB5ODni4,Equality,Inclined to revise,Somewhat disagree,2
R_8JDFyvfQB5ODni4,Fairness,Standard matters,Strongly agree,5
R_8JDFyvfQB5ODni4,Fairness,Reasoning makes sense,Strongly agree,5
R_8JDFyvfQB5ODni4,Fairness,Inclined to revise,Strongly disagree,1
R_8JDFyvfQB5ODni4,Fairness & Equality,Standard matters,Strongly agree,5
R_8JDFyvfQB5ODni4,Fairness & Equality,Reasoning makes sense,Strongly agree,5
R_8JDFyvfQB5ODni4,Fairness & Equality,Inclined to revise,Strongly disagree,1
R_8Qgb6nzGoWik0DT,Equality,Standard matters,Strongly agree,5
R_8Qgb6nzGoWik0DT,Equality,Reasoning makes sense,Strongly agree,5
R_8Qgb6nzGoWik0DT,Equality,Inclined to revise,Somewhat agree,4
R_8Qgb6nzGoWik0DT,Fairness,Standard matters,Strongly agree,5
R_8Qgb6nzGoWik0DT,Fairness,Reasoning makes sense,Somewhat agree,4
R_8Qgb6nzGoWik0DT,Fairness,Inclined to revise,Somewhat agree,4
R_8Qgb6nzGoWik0DT,Fairness & Equality,Standard matters,Strongly agree,5
R_8Qgb6nzGoWik0DT,Fairness & Equality,Reasoning makes sense,Strongly agree,5
R_8Qgb6nzGoWik0DT,Fairness & Equality,Inclined to revise,Somewhat agree,4
R_2kxNPFjZ2CBwYxz,Equality,Standard matters,Strongly agree,5
R_2kxNPFjZ2CBwYxz,Equality,Reasoning makes sense,Strongly agree,5
R_2kxNPFjZ2CBwYxz,Equality,Inclined to revise,Somewhat agree,4
R_2kxNPFjZ2CBwYxz,Fairness,Standard matters,Strongly agree,5
R_2kxNPFjZ2CBwYxz,Fairness,Reasoning makes sense,Strongly agree,5
R_2kxNPFjZ2CBwYxz,Fairness,Inclined to revise,Somewhat agree,4
R_2kxNPFjZ2CBwYxz,Fairness & Equality,Standard matters,Strongly agree,5
R_2kxNPFjZ2CBwYxz,Fairness & Equality,Reasoning makes sense,Strongly agree,5
R_2kxNPFjZ2CBwYxz,Fairness & Equality,Inclined to revise,Somewhat agree,4
R_2dXbZDhFpt83qAF,Equality,Standard matters,Somewhat agree,4
R_2dXbZDhFpt83qAF,Equality,Reasoning makes sense,Strongly agree,5
R_2dXbZDhFpt83qAF,Equality,Inclined to revise,Neither agree nor disagree,3
R_2dXbZDhFpt83qAF,Fairness,Standard matters,Strongly agree,5
R_2dXbZDhFpt83qAF,Fairness,Reasoning makes sense,Somewhat agree,4
R_2dXbZDhFpt83qAF,Fairness,Inclined to revise,Somewhat agree,4
R_2dXbZDhFpt83qAF,Fairness & Equality,Standard matters,Strongly agree,5
R_2dXbZDhFpt83qAF,Fairness & Equality,Reasoning makes sense,Somewhat agree,4
R_2dXbZDhFpt83qAF,Fairness & Equality,Inclined to revise,Strongly agree,5
R_8OkJsZjZfiTU4lA,Equality,Standard matters,Somewhat agree,4
R_8OkJsZjZfiTU4lA,Equality,Reasoning makes sense,Strongly agree,5
R_8OkJsZjZfiTU4lA,Equality,Inclined to revise,Somewhat agree,4
R_8OkJsZjZfiTU4lA,Fairness,Standard matters,Somewhat agree,4
R_8OkJsZjZfiTU4lA,Fairness,Reasoning makes sense,Somewhat agree,4
R_8OkJsZjZfiTU4lA,Fairness,Inclined to revise,Somewhat agree,4
R_8OkJsZjZfiTU4lA,Fairness & Equality,Standard matters,Somewhat agree,4
R_8OkJsZjZfiTU4lA,Fairness & Equality,Reasoning makes sense,Somewhat agree,4
R_8OkJsZjZfiTU4lA,Fairness & Equality,Inclined to revise,Somewhat agree,4
R_8cneOEqQ1w0W9Bn,Equality,Standard matters,Somewhat agree,4
R_8cneOEqQ1w0W9Bn,Equality,Reasoning makes sense,Strongly agree,5
R_8cneOEqQ1w0W9Bn,Equality,Inclined to revise,Strongly agree,5
R_8cneOEqQ1w0W9Bn,Fairness,Standard matters,Somewhat agree,4
R_8cneOEqQ1w0W9Bn,Fairness,Reasoning makes sense,Strongly agree,5
R_8cneOEqQ1w0W9Bn,Fairness,Inclined to revise,Strongly agree,5
R_8cneOEqQ1w0W9Bn,Fairness & Equality,Standard matters,Somewhat agree,4
R_8cneOEqQ1w0W9Bn,Fairness & Equality,Reasoning makes sense,Strongly agree,5
R_8cneOEqQ1w0W9Bn,Fairness & Equality,Inclined to revise,Strongly agree,5
R_8rrkHgBiKPvkks6,Equality,Standard matters,Strongly agree,5
R_8rrkHgBiKPvkks6,Equality,Reasoning makes sense,Strongly agree,5
R_8rrkHgBiKPvkks6,Equality,Inclined to revise,Strongly agree,5
R_8rrkHgBiKPvkks6,Fairness,Standard matters,Strongly agree,5
R_8rrkHgBiKPvkks6,Fairness,Reasoning makes sense,Strongly agree,5
R_8rrkHgBiKPvkks6,Fairness,Inclined to revise,Somewhat agree,4
R_8rrkHgBiKPvkks6,Fairness & Equality,Standard matters,Strongly agree,5
R_8rrkHgBiKPvkks6,Fairness & Equality,Reasoning makes sense,Strongly agree,5
R_8rrkHgBiKPvkks6,Fairness & Equality,Inclined to revise,Somewhat agree,4
R_8xhy2dBSbXlu5fH,Equality,Standard matters,Somewhat agree,4
R_8xhy2dBSbXlu5fH,Equality,Reasoning makes sense,Somewhat agree,4
R_8xhy2dBSbXlu5fH,Equality,Inclined to revise,Somewhat agree,4
R_8xhy2dBSbXlu5fH,Fairness,Standard matters,Somewhat agree,4
R_8xhy2dBSbXlu5fH,Fairness,Reasoning makes sense,Somewhat agree,4
R_8xhy2dBSbXlu5fH,Fairness,Inclined to revise,Somewhat agree,4
R_8xhy2dBSbXlu5fH,Fairness & Equality,Standard matters,Somewhat agree,4
R_8xhy2dBSbXlu5fH,Fairness & Equality,Reasoning makes sense,Somewhat agree,4
R_8xhy2dBSbXlu5fH,Fairness & Equality,Inclined to revise,Somewhat agree,4
R_2BxtkAJU0Wl4Erq,Equality,Standard matters,Somewhat disagree,2
R_2BxtkAJU0Wl4Erq,Equality,Reasoning makes sense,Strongly agree,5
R_2BxtkAJU0Wl4Erq,Equality,Inclined to revise,Neither agree nor disagree,3
R_2BxtkAJU0Wl4Erq,Fairness,Standard matters,Strongly disagree,1
R_2BxtkAJU0Wl4Erq,Fairness,Reasoning makes sense,Strongly agree,5
R_2BxtkAJU0Wl4Erq,Fairness,Inclined to revise,Somewhat disagree,2
R_2BxtkAJU0Wl4Erq,Fairness & Equality,Standard matters,Somewhat disagree,2
R_2BxtkAJU0Wl4Erq,Fairness & Equality,Reasoning makes sense,Strongly agree,5
R_2BxtkAJU0Wl4Erq,Fairness & Equality,Inclined to revise,Neither agree nor disagree,3
R_8BeopuSusSTWqKq,Equality,Standard matters,Strongly agree,5
R_8BeopuSusSTWqKq,Equality,Reasoning makes sense,Strongly agree,5
R_8BeopuSusSTWqKq,Equality,Inclined to revise,Strongly agree,5
R_8BeopuSusSTWqKq,Fairness,Standard matters,Strongly agree,5
R_8BeopuSusSTWqKq,Fairness,Reasoning makes sense,Strongly agree,5
R_8BeopuSusSTWqKq,Fairness,Inclined to revise,Somewhat disagree,2
R_8BeopuSusSTWqKq,Fairness & Equality,Standard matters,Strongly agree,5
R_8BeopuSusSTWqKq,Fairness & Equality,Reasoning makes sense,Strongly agree,5
R_8BeopuSusSTWqKq,Fairness & Equality,Inclined to revise,Neither agree nor disagree,3
